country,farm,lot_number,mill,company,altitude,year,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,overall,category_one_defects,color,category_two_defects
Colombia,N / A,3-0068-00886,Trilladora Popayán,ECOM COLOMBIA,1700,2022 / 2023,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10,10,10,7.58,2,green,5
United States (Hawaii),various farms,"The 2022 Pacific Rim Coffee Summit,US02",Aloha Hills Kona Coffee,Taiwan Coffee Laboratory,400-600,2022,Washed / Wet,7.67,7.92,7.58,7.58,7.58,7.75,10,10,10,7.75,0,green,3
Colombia,La Gallera,"The 2022 Pacific Rim Coffee Summit,CO02",La Gallera,Taiwan Coffee Laboratory,1800,2022,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10,10,10,7.58,0,greenish,1
Mexico,Finca Custepec,312,exportadora de cafe california,Exportadora Café California,1200,2022 / 2023,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,10,10,10,7.75,4,green,12
Colombia,NA,NA,NA,Coffee Quality Institute,NA,2022,NA,7.83,7.75,7.5,7.58,7.67,7.67,10,10,10,7.67,1,greenish,9
Taiwan,永舜咖啡莊園,202203,yes,Yongshun,1250,2022,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10,10,10,7.67,0,bluish-green,0
Myanmar,Aromatic,"The 2022 Pacific Rim Coffee Summit,MM01",Aromatic,Taiwan Coffee Laboratory,1400,2022,Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10,10,10,7.58,0,pale yellow,1
Taiwan,恆珊農場,A05-Northern Taiwan Specialty Coffee Evaluation,恆珊農場,Taiwu Coffee Cooperative,200-400,2021 / 2022,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10,10,10,7.67,0,greenish,0
Honduras,Maria Bonita,"The 2022 Pacific Rim Coffee Summit,HN01","Cafe Organic Marcala, S.A. (COMSA)",Taiwan Coffee Laboratory,1470,2021,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.67,0,pale yellow,1
Taiwan,正源咖啡,A30-Northern Taiwan Specialty Coffee Evaluation,正源咖啡,Taiwu Coffee Cooperative,250-400,2021 / 2022,Natural / Dry,7.58,7.67,7.5,7.75,7.75,7.67,10,10,10,7.67,0,green,0
Taiwan,宋明光	蝙蝠洞莊園	蝙蝠洞莊園,A14-Northern Taiwan Specialty Coffee Evaluation,宋明光	蝙蝠洞莊園	蝙蝠洞莊園,Taiwu Coffee Cooperative,250-300,2021 / 2022,Pulped natural / honey,7.58,7.75,7.58,7.75,7.58,7.67,10,10,10,7.67,0,green,0
Guatemala,SAN FRANCISCO COTZAL,P-4142,"INMOBILIARIA E INVERSIONES DOS MIL, S. A.",Asociación Nacional del Cafe,1600,2021 / 2022,Washed / Wet,7.58,7.83,7.58,7.67,7.58,7.58,10,10,10,7.75,0,green,4
Honduras,varias,AMNI-22-6011-1,Beneficio seco,Cafe Organico Marcala S.A de C.V.,1400,2021 / 2022,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10,10,10,7.67,0,green,5
Colombia,La fortaleza,3-0104-00202 Popayán Supremo,Trilladora Pubenza,Cafe Colsuaves,1700,2022,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10,10,10,7.58,0,bluish-green,2
Thailand,Doi Tung Development Project,BOURBON 21/22 (Coffea Arabica),Dry Mill,Doi Tung Development Project,1200 - 1580,2022,Washed / Wet,7.42,7.83,7.58,7.67,7.67,7.75,10,10,10,7.58,0,green,0
Ethiopia,YHAENU PLC FARM,1,GUJI COFFEE EXPORT P.L.C,yhaenu plc,1700,2021 / 2022,Washed / Wet,7.42,7.42,7.42,8,7.92,7.67,10,10,10,7.67,0,greenish,11
Thailand,Doi Nan,CQU2022011,Doi Nan,Coffee Quality Union,1450,2022,Washed / Wet,7.67,7.67,7.5,7.67,7.58,7.67,10,10,10,7.67,0,green,0
Uganda,Bugisu Shamba,035/170/5021210,Kawacom,Kawacom uganda LTD,1400 - 1900,2021 / 2022,Washed / Wet,7.75,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0,green,3
Taiwan,香香久溢咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T022",香香久溢咖啡莊園,Taiwan Coffee Laboratory,1100,2021 / 2022,Washed / Wet,7.75,7.92,7.67,7.92,7.75,7.83,8.67,10,10,7.92,0,blue-green,0
Uganda,Masereka William,7969,Dry Mill,Kyagalanyi Coffee Limited,1905,2021 / 2022,Washed / Wet,7.75,7.67,7.58,7.5,7.67,7.5,10,10,10,7.67,0,green,5
Taiwan,四分子道,A04-Northern Taiwan Specialty Coffee Evaluation,四分子道,Taiwu Coffee Cooperative,200-300,2021 / 2022,Pulped natural / honey,7.58,7.67,7.5,7.75,7.5,7.58,10,10,10,7.75,0,greenish,0
Guatemala,MI CAFECITO & LA PROVIDENCIA,1,MI CAFECITO + AGUA SANTA LA PROVIDENCIA + AGUA SANTA,Mr.Brown Cafe,1280-1325,2021,Washed / Wet,7.5,7.75,7.58,7.75,7.67,7.58,10,10,10,7.5,0,green,0
Taiwan,木華莊園,A21-Northern Taiwan Specialty Coffee Evaluation,木華莊園,Taiwu Coffee Cooperative,300,2021 / 2022,Washed / Wet,7.58,7.67,7.58,7.75,7.42,7.58,10,10,10,7.75,0,green,1
Colombia,El Laurel,1,Hulling facility,Minka coffee company LTD,1100,2021 / 2022,Washed / Wet,7.67,7.67,7.42,7.75,7.5,7.75,10,10,10,7.58,0,greenish,0
Costa Rica,Gamboa Farm,12074,Beneficio Montañas del Diamante,CECA S.A.,1850,2022 / 2023,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.75,10,10,10,7.67,0,green,3
Taiwan,東泓咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T019",東泓咖啡莊園,Taiwan Coffee Laboratory,750,2021 / 2022,Washed / Wet,7.75,7.83,7.58,7.58,7.58,7.5,10,10,10,7.5,0,blue-green,1
Thailand,Doi Tung Development Project,TYPICA 21/22 (Coffea Arabica),Dry Mill,Doi Tung Development Project,1300-1500,2022,Washed / Wet,7.92,7.92,7.75,7.33,7.58,7.5,10,10,10,7.33,0,yellow-green,16
"Tanzania, United Republic Of",MASHIMA AMCOS,CN 4127220163/4189220459,GOURMET COFFEE MILL,DORMAN TANZANIA LTD,1400-1700,2022 / 2023,Washed / Wet,7.92,7.67,7.42,7.5,7.67,7.58,10,10,10,7.5,0,greenish,8
Brazil,Fazenda Conquista e Capoeirinha,004/22,Dry mill,Ipanema Coffees,950,2022 / 2023,Natural / Dry,7.58,7.5,7.5,7.83,7.67,7.5,10,10,10,7.67,0,green,4
Taiwan,棒棒有機農場,A41-Northern Taiwan Specialty Coffee Evaluation,棒棒有機農場,Taiwu Coffee Cooperative,1100-1200,2021 / 2022,Washed / Wet,7.75,7.75,7.58,7.67,7.42,7.5,10,10,10,7.58,0,green,1
Colombia,Buenos Aires,CQU2023003,Buenos Aires,Coffee Quality Union,1390,2022,Anaerobico 1000h,7.67,7.67,7.58,7.67,7.58,7.58,10,10,10,7.5,0,brownish,2
Honduras,La Bendicion,"The 2022 Pacific Rim Coffee Summit,HN03","COMSA (Cafe Organic Marcala, S.A)",Taiwan Coffee Laboratory,1600,2021,Washed / Wet,7.67,7.75,7.67,7.58,7.5,7.58,10,10,10,7.5,0,bluish-green,3
Honduras,varias,AMNI-22-6011-2,Beneficio seco,Cafe Organico Marcala S.A de C.V.,1400,2021 / 2022,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0,green,5
Taiwan,蜜多莊園,A35-Northern Taiwan Specialty Coffee Evaluation,蜜多莊園,Taiwu Coffee Cooperative,200-300,2021 / 2022,Natural / Dry,7.75,7.75,7.5,7.75,7.5,7.42,10,10,10,7.5,0,greenish,2
Taiwan,迎曦山丘,A20-Northern Taiwan Specialty Coffee Evaluation,迎曦山丘,Taiwu Coffee Cooperative,340,2021 / 2022,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10,10,10,7.67,0,blue-green,0
Laos,Nongluang Bolaven Plateau,DCN03.11.2022,Dao Heuang Group,Dao Heuang Group,1200 - 1300,2022,Natural / Dry,7.67,7.75,7.33,7.67,7.58,7.5,10,10,10,7.58,0,brownish,7
Honduras,La Cuchilla,187,CIGRAH,CIGRAH,1368,2021 / 2022,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10,10,10,7.58,0,green,7
Honduras,Bethel,198,CADEXSA,CADEXSA,1450,2022 / 2023,Washed / Wet,7.75,7.58,7.58,7.58,7.58,7.5,10,10,10,7.5,0,green,2
Colombia,EL PRADO,3-59-0654,NEIVA,carcafe ltda,1650,2022 / 2023,Washed / Wet,8,7.67,7.42,7.58,7.58,7.42,10,10,10,7.33,0,bluish-green,1
Taiwan,樹橋窩莊園,A17-Northern Taiwan Specialty Coffee Evaluation,樹橋窩莊園,Taiwu Coffee Cooperative,250-300,2021 / 2022,Pulped natural / honey,7.5,7.67,7.58,7.58,7.5,7.5,10,10,10,7.58,0,blue-green,0
Mexico,Finca Tequihua,001,"Coatepec, Veracruz",La Villa Coffee Company LLC,1350,2021 / 2022,Washed / Wet,7.75,7.5,7.42,7.67,7.58,7.5,10,10,10,7.5,2,green,1
Colombia,La Argentina,CQU2022013,La Argentina,Coffee Quality Union,1350,2021 / 2022,Washed / Wet,7.58,7.5,7.5,7.67,7.58,7.5,10,10,10,7.58,0,greenish,3
Taiwan,嵩岳咖啡莊園,202203,yes,宸嶧國際有限公司,1200,2022,NA,7.67,7.5,7.42,7.75,7.42,7.58,10,10,10,7.58,0,yellow-green,0
Honduras,Varias,273,Beneficio Seco Comsa,Cafe Organico Marcala S.A de C.V.,1280,2022 / 2023,Washed / Wet,7.67,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,0,green,4
Thailand,Doi Tung Development Project,GAYO 21/22 (Coffea Arabica),Dry Mill,Doi Tung Development Project,1300-1500,2022,Washed / Wet,7.17,7.92,7.58,7.5,7.58,7.67,10,10,10,7.42,0,yellow-green,5
Vietnam,Ea tan Cooperative,VHA- S3,SIMEXCO DAKLAK LTD,SIMEXCO DAKLAK LTD,900,2021 / 2022,Pulped natural / honey,7.58,7.42,7.58,7.5,7.67,7.75,10,10,10,7.33,0,green,4
Nicaragua,Finca San Felipe,017-053-0017,Beneficio Atlantic Sébaco,Exportadora Atlantic S.A,1200,2022 / 2023,Natural / Dry,7.33,7.58,7.25,7.33,7.75,8.17,10,10,10,7.33,5,green,1
Costa Rica,AMA EL AROMA Micro lot - Sunrise,"The 2022 Pacific Rim Coffee Summit,CR01",Micro mill,Taiwan Coffee Laboratory,1450,2021,Pulped natural / honey,7.33,7.5,7.25,7.92,7.75,7.58,10,10,10,7.42,0,pale yellow,1
Colombia,Federación Nacional de Cafeteros de Colombia,3/01/12857,Federación Nacional de Cafeteros de Colombia,"NIPPON COFFEE TRADING CO.,LTD.",1700,2022,Washed / Wet,7.58,7.67,7.58,7.5,7.33,7.5,10,10,10,7.5,0,green,2
Thailand,Doi Tung Development Project,CATURRA 21/22 (Coffea Arabica),Dry Mill,Doi Tung Development Project,1200 - 1580,2022,Washed / Wet,7.33,7.58,7.58,7.5,7.67,7.67,10,10,10,7.33,1,greenish,0
Thailand,Kevin Coffee,21/22,Dry mill,Square Root,1200,2021 / 2022,Natural / Dry,7.5,7.58,7.5,7.42,7.5,7.58,10,10,10,7.58,0,yellow green,0
Honduras,Bethel,197,CADEXSA,CADEXSA,1450,2022 / 2023,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,10,10,10,7.5,0,green,2
Taiwan,銅鏡莊園,A01-Northern Taiwan Specialty Coffee Evaluation,銅鏡莊園,Taiwu Coffee Cooperative,165,2021 / 2022,Natural / Dry,7.67,7.67,7.42,7.42,7.42,7.5,10,10,10,7.5,0,green,0
Taiwan,掬香園,A22-Northern Taiwan Specialty Coffee Evaluation,掬香園,Taiwu Coffee Cooperative,465,2021 / 2022,Washed / Wet,7.67,7.58,7.42,7.42,7.5,7.5,10,10,10,7.5,0,blue-green,2
Nicaragua,Finca Las Dos Marias,4 -3.1,"Compare Coperativo Condega, Esteli, Nicaragua",NicaNoLA Coffee,1350,2021 / 2022,Washed / Wet,7.5,7.58,7.42,7.58,7.5,7.58,10,10,10,7.42,0,green,0
El Salvador,Agua Caliente,1-26,Agua Caliente,Consejo Salvadoreño del Café,1200,2022 / 2023,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,10,10,10,7.33,0,green,2
Panama,Finca Lerida,P03769,Finca Lerida,Panamerican Coffee Trading,1200,2021 / 2022,Washed / Wet,7.75,7.67,7.17,7.67,7.42,7.42,10,10,10,7.42,0,green,0
Brazil,Fazenda Pedra Preta,MVB-QCert-001/2022,COPAG VARGINHA,Man Volcafe Brasil Ltda.,1100,2022 / 2023,Natural / Dry,7.5,7.58,7.5,7.5,7.67,7.42,10,10,10,7.33,0,bluish-green,1
United States (Hawaii),Kainaliu Farm,"The 2022 Pacific Rim Coffee Summit,US03",Aloha Hills Kona Coffee,Taiwan Coffee Laboratory,640,2022,Washed / Wet,7.33,7.58,7.5,7.5,7.5,7.58,10,10,10,7.5,0,blue-green,1
Mexico,Las Trincheras,"The 2022 Pacific Rim Coffee Summit,MX01",Las Trincheras,Taiwan Coffee Laboratory,1340,2021,Washed / Wet,7.67,7.42,7.5,7.5,7.67,7.42,10,10,10,7.33,0,pale yellow,0
Honduras,La Cuchilla,185,CIGRAH,Mercon Honduras,1368,2021 / 2022,Washed / Wet,7.58,7.58,7.33,7.5,7.58,7.42,10,10,10,7.5,0,green,8
Taiwan,弘欣咖啡園,A02-Northern Taiwan Specialty Coffee Evaluation,弘欣咖啡園,Taiwu Coffee Cooperative,139,2021 / 2022,Washed / Wet,7.42,7.42,7.58,7.42,7.58,7.5,10,10,10,7.58,0,green,2
Nicaragua,Finca Aurora,1,Beneficio Seco Finca Aurora,Mr.Brown Cafe,1200-1350,2021 / 2022,Washed / Wet,7.58,7.58,7.42,7.42,7.5,7.5,10,10,10,7.42,0,bluish-green,0
Vietnam,Apollo Estate,Apollo Washed 2021,Dry Mill,"Sunvirtue Co., Ltd.",1040,2021,Washed / Wet,7.5,7.5,7.33,7.5,7.5,7.42,10,10,10,7.58,0,bluish-green,0
El Salvador,Agua Caliente,1-26,Agua Caliente,Consejo Salvadoreño del Café,1200,2022 / 2023,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,10,10,10,7.42,0,green,10
El Salvador,Agua Caliente,1-74,Agua Caliente,Consejo Salvadoreño del Café,1200,2021 / 2022,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,10,10,10,7.17,0,bluish-green,0
Taiwan,寶山謐靚,A48-Northern Taiwan Specialty Coffee Evaluation,寶山謐靚,Taiwu Coffee Cooperative,140,2021 / 2022,Natural / Dry,7.67,7.58,7.42,7.5,7.33,7.42,10,10,10,7.42,0,green,1
Peru,Fundo La Libertado,PR138,Planta Callao,Itochu Corporation,1600,2022 / 2023,Washed / Wet,7.67,7.5,7.33,7.58,7.33,7.42,10,10,10,7.42,0,greenish,3
United States (Hawaii),Manny's Farm,Islander’s Coffee for Pacific Rim Summit,Manny's Farm,Taiwan Coffee Laboratory,1200,2022,Washed / Wet,7.75,7.42,7.33,7.5,7.33,7.5,10,10,10,7.33,1,green,5
Kenya,Kenyan Highlands,CQU2023004,TAYLOR WINCH,Coffee Quality Union,1500-1950,2022,Washed / Wet,7.5,7.5,7.42,7.5,7.25,7.5,10,10,10,7.5,0,green,2
Honduras,La Cuchilla,184,CIGRAH,Mercon Honduras,1368,2021 / 2022,Washed / Wet,7.67,7.5,7.25,7.5,7.5,7.33,10,10,10,7.42,0,green,8
Taiwan,金暖農場,A43-Northern Taiwan Specialty Coffee Evaluation,金暖農場,Taiwu Coffee Cooperative,600,2021 / 2022,Washed / Wet,7.5,7.67,7.33,7.5,7.25,7.33,10,10,10,7.5,0,bluish-green,0
Taiwan,好客農埸,A34-Northern Taiwan Specialty Coffee Evaluation,好客農埸,Taiwu Coffee Cooperative,460,2021 / 2022,Pulped natural / honey,7.33,7.42,7.42,7.5,7.42,7.5,10,10,10,7.5,0,greenish,3
Taiwan,拉拉山祖嵐咖啡莊園,A50-Northern Taiwan Specialty Coffee Evaluation,拉拉山祖嵐咖啡莊園,Taiwu Coffee Cooperative,500,2021 / 2022,Washed / Wet,7.5,7.58,7.42,7.42,7.25,7.42,10,10,10,7.42,0,green,1
Thailand,Doi Tung Development Project,MIXED DT 21/22 (Coffea Arabica),Dry Mill,Doi Tung Development Project,800-1200,2022,Washed / Wet,7.17,7.5,7.42,7.42,7.58,7.5,10,10,10,7.42,0,green,0
Costa Rica,San Diego Mill,S019194 - P04178,Dosmil,Beneficios Volcafé Costa Rica,1500,2018 / 2019,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,10,10,10,7.5,1,green,8
Guatemala,Not Specificated,SA4238,Dry Mill of Exportcafe,Marubeni Corporation,1350-1550,2021 / 2022,Washed / Wet,7.42,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,0,blue-green,2
Indonesia,Wahana Graha Makmur,015/1686/057,PT. Wahana Graha Makmur Medan,InterAmerican Coffee,1350,2022,Pulped natural / honey,7.67,7.33,7.25,7.67,7.42,7.25,10,10,10,7.42,0,bluish-green,0
Peru,Fundo La Libertad,301R,Planta Callao,Itochu Corporation,1600,2022 / 2023,Washed / Wet,7.5,7.5,7.33,7.5,7.33,7.33,10,10,10,7.42,0,greenish,2
Guatemala,MULTIPLE SMALLHOLDER FARMS,GF-23392,MULTIPLE SMALLHOLDER FARMS,"HARU International Corp, 守成咖啡",1200~1600,2022,Washed / Wet,7.33,7.42,7.33,7.42,7.58,7.42,10,10,10,7.42,0,greenish,1
Taiwan,阿拉思家,A10-Northern Taiwan Specialty Coffee Evaluation,阿拉思家,Taiwu Coffee Cooperative,300,2021 / 2022,Pulped natural / honey,7.25,7.42,7.42,7.5,7.42,7.42,10,10,10,7.42,0,green,0
Vietnam,Gaia Farms,221221,Hulling Facility,Brew Baby Coffee Company,5400,2022 / 2023,Pulped natural / honey,7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.33,0,green,4
Brazil,Sitio Colinas,CQU2023007,COCARIVE,Coffee Quality Union,1000,2022,Pulped natural / honey,7.5,7.5,7.42,7.33,7.33,7.33,10,10,10,7.42,0,pale yellow,2
Brazil,Fazenda Olhos Dagua,1,Owned by producer,Mr.Brown Cafe,900-1000,2021,Natural / Dry,7.42,7.5,7.58,7.33,7.33,7.25,10,10,10,7.33,0,yellow-green,0
Colombia,More than one,1,Trilladora CCA Buga,Mr.Brown Cafe,1574,2021,Washed / Wet,7.33,7.5,7.33,7.42,7.42,7.42,10,10,10,7.33,0,yellow-green,0
Mexico,Finca San José,002,"Coatepec, Veracruz",La Villa Coffee Company LLC,1200,2021 / 2022,Washed / Wet,7.58,7.42,7.25,7.25,7.5,7.33,10,10,10,7.33,2,green,2
Costa Rica,HACIENDA SAN IGNACIO,OIC 5-019-0037/ Contenedor: DRYU3106597 / Cliente: O COFFEE,Beneficio La Giorgia,Grupo ECOM,1200,2022 / 2023,Washed / Wet,7.33,7.42,7.25,7.42,7.42,7.33,10,10,10,7.42,0,green,4
Taiwan,橫鹿,A46-Northern Taiwan Specialty Coffee Evaluation,橫鹿,Taiwu Coffee Cooperative,300,2021 / 2022,Pulped natural / honey,7.42,7.5,7.33,7.33,7.33,7.33,10,10,10,7.33,0,yellow-green,0
Taiwan,大屯29莊園,A38-Northern Taiwan Specialty Coffee Evaluation,大屯29莊園,Taiwu Coffee Cooperative,435,2021 / 2022,Pulped natural / honey,7.33,7.5,7.42,7.33,7.33,7.25,10,10,10,7.33,0,green,0
Thailand,Doi Tung Development Project,JAVA 21/22 (Coffea Arabica),Dry Mill,Doi Tung Development Project,1300-1500,2022,Washed / Wet,7.33,7.42,7.25,7.33,7.5,7.42,10,10,10,7.17,2,green,1
Thailand,Doi Lan,"The 2022 Pacific Rim Coffee Summit,TH07",Miramar Coffee,Taiwan Coffee Laboratory,1400,2021,Natural / Dry,7.42,7.25,7.33,7.42,7.33,7.33,10,10,10,7.25,0,yellowish,5
Thailand,Doi Tung Development Project,MIXED 21/22 (Coffea Arabica),Dry Mill,Doi Tung Development Project,600-800,2022,Washed / Wet,7.25,7.25,7.42,7.25,7.42,7.42,10,10,10,7.17,0,green,0
Colombia,Escalera,CQU2022019,Escalera,Coffee Quality Union,1300-1800,2021 / 2022,Washed / Wet,7.42,7.25,7.25,7.42,7.17,7.33,10,10,10,7.33,0,greenish,2
Brazil,Various farm,0038,Dry Mill of Cocapil,Marubeni Corporation,1200,2022 / 2023,Natural / Dry,7.42,7.42,7.25,7.25,7.17,7.25,10,10,10,7.25,0,greenish,1
El Salvador,"Rosario de Maria II, Area de Loma Alta",0623C01,"Optimum Coffee, San Salvador, El Salvador",Aprentium Enterprises LLC,1400,2023,Natural / Dry,7.42,7.33,7.33,7.5,7.08,7,10,10,10,7.17,0,bluish-green,7
Nicaragua,EXPORTADORA ATLANTIC S.A,017/053/0603,Lavado,ISHIMITSU,1100,2021,Washed / Wet,7.25,7.25,7.17,7.33,7.08,7.25,10,10,10,7.17,0,greenish,3
Nicaragua,Sajonia Estate Coffee S.A.,1,Sajonia Estate Coffee S.A.,SAJONIA ESTATE COFFEE S.A.,1000,2022 / 2023,Washed / Wet,7.42,7.17,7,7.08,7.42,7.17,10,10,10,7.17,0,green,5
Colombia,Finca Mallorca,CQU2023001,Finca Mallorca,Coffee Quality Union,1600,2022,Washed / Wet,7.25,7.25,7.17,7.33,7,7.17,10,10,10,7.25,0,greenish,3
Peru,Fundo La Libertad,PR137,Callao Plant,Itochu Corporation,1600,2022 / 2023,Washed / Wet,7.5,7.25,7.17,7.17,7.17,7.08,10,10,10,7,0,greenish,11
El Salvador,"Rosario de Maria II, Area de Menjivar",0523B01,"Optimum Coffee, San Salvador, El Salvador",Aprentium Enterprises LLC,1300,2023,Natural / Dry,7.08,7.25,7.08,7.42,7.42,7.08,10,10,10,7,0,bluish-green,7
Brazil,Various farm,002/1738/0029,Dry mill,marubeni,1200,2021 / 2022,Natural / Dry,7.25,7.17,7.17,7.08,7.17,7.17,10,10,10,7.17,0,greenish,2
Brazil,Fazenda Conquista,019/22,Dry Mill,Ipanema Coffees,950,2022 / 2023,Natural / Dry,7.17,7.17,6.92,7.17,7.42,7.17,10,10,10,7.08,0,green,4
Nicaragua,Finca San Felipe,017-053-0155,Beneficio Atlantic Sébaco,Exportadora Atlantic S.A,1200,2022 / 2023,Natural / Dry,7.33,7.08,6.75,7.17,7.42,7.17,10,10,10,7.08,0,green,12
Laos,-,105/3/VL7285-005,DRY MILL,Marubeni Corporation,1300,2021 / 2022,Washed / Wet,7.25,7.17,7.08,7,7.08,7.08,10,10,10,7,0,green,11
El Salvador,"Rosario de Maria II, Area de La Pila",0423A01,"Optimum Coffee, San Salvador, El Salvador",Aprentium Enterprises LLC,1200,2023,Natural / Dry,6.5,6.75,6.75,7.17,7.08,7,10,10,10,6.83,0,bluish-green,13
Brazil,Walter Matter,1058 y 1059,Beneficio humedo/seco,Descafeinadores Mexicano SA. de CV,850-1100,2021 / 2022,SEMI-LAVADO,7.25,7.08,6.67,6.83,6.83,6.67,10,10,10,6.67,0,green,1
